Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T2G3L2,T2G3L1,T2G1L2,T2G1L1,T2G2L2,T2G2L1,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T1G2L2,T1G2L1
P12,AUTOCOMPASTE,paragraph,Latin,0,33,"Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.","Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.",1.44324E+12,1.44324E+12,19007,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,English,0,34,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44324E+12,1.44324E+12,14836,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,Latin,0,35,dapibus nisl at neque,dapibus nisl at neque,1.44324E+12,1.44324E+12,15931,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,English,0,36,were hunting the animal,were hunting the animal,1.44324E+12,1.44324E+12,12809,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,Latin,1,1,"Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.","Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.",1.44324E+12,1.44324E+12,11332,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,English,1,2,It creeps in unbidden and corrupts everything it touches.,It creeps in unbidden and corrupts everything it touches.,1.44324E+12,1.44324E+12,14383,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,Latin,1,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.",1.44324E+12,1.44324E+12,15392,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,English,1,4,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,Each leader pools ions at the leading tips. Shooting out one or more new leaders. Momentarily pooling again to concentrate charged ions. Then shooting out another leader.,1.44324E+12,1.44324E+12,21450,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,Latin,1,5,risus elit lobortis,risus elit lobortis,1.44324E+12,1.44324E+12,23810,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,English,1,6,also known as the Second,also known as the Second,1.44324E+12,1.44324E+12,11047,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,Latin,1,7,Maecenas sit amet purus at enim molestie maximus at vel est.,Maecenas sit amet purus at enim molestie maximus at vel est.,1.44324E+12,1.44324E+12,29016,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,English,1,8,It creeps in unbidden and corrupts everything it touches.,It creeps in unbidden and corrupts everything it touches.,1.44324E+12,1.44324E+12,11291,1,,,,,,,,,,,,,,,,
