pid,technique,granularity,language,time,accuracy
P04,AUTOCOMPASTE,sentence,English,4.265,1
P04,AUTOCOMPASTE,paragraph,Latin,15.414,1
P04,AUTOCOMPASTE,paragraph,English,13.648,1
P04,TRADITIONAL,phrase,Latin,7.089,1
P04,TRADITIONAL,phrase,English,13.538,1
P04,TRADITIONAL,sentence,Latin,6.286,1
P04,TRADITIONAL,sentence,English,9.65,1
P04,TRADITIONAL,paragraph,Latin,6.936,1
P04,TRADITIONAL,paragraph,English,5.713,1
P04,AUTOCOMPASTE,phrase,Latin,9.575,1
P04,AUTOCOMPASTE,phrase,English,8.804,1
P04,AUTOCOMPASTE,sentence,Latin,5.001,1
P04,AUTOCOMPASTE,sentence,English,3.787,1
P04,AUTOCOMPASTE,paragraph,Latin,23.688,1
P04,AUTOCOMPASTE,paragraph,English,18.143,1
P04,TRADITIONAL,phrase,Latin,9.481,1
P04,TRADITIONAL,phrase,English,7.25,1
P04,TRADITIONAL,sentence,Latin,7.586,1
P04,TRADITIONAL,sentence,English,15.095,1
P04,TRADITIONAL,paragraph,Latin,12.719,1
P04,TRADITIONAL,paragraph,English,8.772,1
P04,AUTOCOMPASTE,phrase,Latin,17.667,1
P04,AUTOCOMPASTE,phrase,English,9.177,1
P04,AUTOCOMPASTE,sentence,Latin,4.634,1
P04,AUTOCOMPASTE,sentence,English,4.148,1
P04,AUTOCOMPASTE,paragraph,Latin,16.737,1
P04,AUTOCOMPASTE,paragraph,English,11.605,1
P04,TRADITIONAL,phrase,Latin,9.748,1
P04,TRADITIONAL,phrase,English,6.297,1
P04,TRADITIONAL,sentence,Latin,6.997,1
P04,TRADITIONAL,sentence,English,8.494,1
P04,TRADITIONAL,paragraph,Latin,4.348,1
P04,TRADITIONAL,paragraph,English,8.13,1
P04,AUTOCOMPASTE,phrase,Latin,9.967,1
P04,AUTOCOMPASTE,phrase,English,8.599,1
P04,AUTOCOMPASTE,sentence,Latin,5.706,1
P04,AUTOCOMPASTE,sentence,English,4.714,1
P04,AUTOCOMPASTE,paragraph,Latin,10.314,1
P04,AUTOCOMPASTE,paragraph,English,8.294,1
P04,TRADITIONAL,phrase,Latin,15.573,1
P04,TRADITIONAL,phrase,English,3.738,1
P04,TRADITIONAL,sentence,Latin,16.031,1
P04,TRADITIONAL,sentence,English,4.642,1
P04,TRADITIONAL,paragraph,Latin,13.055,1
P04,TRADITIONAL,paragraph,English,11.331,1
P04,AUTOCOMPASTE,phrase,Latin,11.04,1
P04,AUTOCOMPASTE,phrase,English,11.429,1
P04,AUTOCOMPASTE,sentence,Latin,8.159,1
P04,AUTOCOMPASTE,sentence,English,2.79,1
P04,AUTOCOMPASTE,paragraph,Latin,19.558,1
P04,AUTOCOMPASTE,paragraph,English,12.051,1
P04,TRADITIONAL,phrase,Latin,5.229,1
P04,TRADITIONAL,phrase,English,14.445,1
P04,TRADITIONAL,sentence,Latin,16.001,1
P04,TRADITIONAL,sentence,English,4.236,1
P04,TRADITIONAL,paragraph,Latin,4.872,1
P04,TRADITIONAL,paragraph,English,8.943,1
P04,AUTOCOMPASTE,phrase,Latin,7.235,1
P04,AUTOCOMPASTE,phrase,English,10.364,1
P04,AUTOCOMPASTE,sentence,Latin,8.684,1
P04,AUTOCOMPASTE,sentence,English,4.635,1
P04,AUTOCOMPASTE,paragraph,Latin,12.775,1
P04,AUTOCOMPASTE,paragraph,English,10.523,1
P04,TRADITIONAL,phrase,Latin,9.215,1
P04,TRADITIONAL,phrase,English,13.666,1
P04,TRADITIONAL,sentence,Latin,15.287,1
P04,TRADITIONAL,sentence,English,27.099,1
P04,TRADITIONAL,paragraph,Latin,3.9,1
P04,TRADITIONAL,paragraph,English,13.609,1
P05,AUTOCOMPASTE,sentence,English,5.409,1
P05,AUTOCOMPASTE,sentence,Latin,5.884,1
P05,AUTOCOMPASTE,paragraph,English,5.321,1
P05,AUTOCOMPASTE,paragraph,Latin,21.577,1
P05,AUTOCOMPASTE,phrase,English,6.783,1
P05,AUTOCOMPASTE,phrase,Latin,10.518,1
P05,TRADITIONAL,sentence,English,6.851,1
P05,TRADITIONAL,sentence,Latin,19.755,1
P05,TRADITIONAL,paragraph,English,12.296,1
P05,TRADITIONAL,paragraph,Latin,5.512,1
P05,TRADITIONAL,phrase,English,5.68,1
P05,TRADITIONAL,phrase,Latin,8.955,1
P05,AUTOCOMPASTE,sentence,English,5.816,1
P05,AUTOCOMPASTE,sentence,Latin,3.893,1
P05,AUTOCOMPASTE,paragraph,English,6.378,1
P05,AUTOCOMPASTE,paragraph,Latin,5.238,1
P05,AUTOCOMPASTE,phrase,English,8.329,1
P05,AUTOCOMPASTE,phrase,Latin,10.721,1
P05,TRADITIONAL,sentence,English,8.518,1
P05,TRADITIONAL,sentence,Latin,11.856,1
P05,TRADITIONAL,paragraph,English,5.053,1
P05,TRADITIONAL,paragraph,Latin,7.075,1
P05,TRADITIONAL,phrase,English,5.49,1
P05,TRADITIONAL,phrase,Latin,17.426,1
P05,AUTOCOMPASTE,sentence,English,8.718,1
P05,AUTOCOMPASTE,sentence,Latin,13.128,1
P05,AUTOCOMPASTE,paragraph,English,9.563,1
P05,AUTOCOMPASTE,paragraph,Latin,8.305,1
P05,AUTOCOMPASTE,phrase,English,10.256,1
P05,AUTOCOMPASTE,phrase,Latin,10.315,1
P05,TRADITIONAL,sentence,English,19.946,1
P05,TRADITIONAL,sentence,Latin,6.997,1
P05,TRADITIONAL,paragraph,English,7.088,1
P05,TRADITIONAL,paragraph,Latin,6.256,1
P05,TRADITIONAL,phrase,English,12.723,1
P05,TRADITIONAL,phrase,Latin,9.527,1
P05,AUTOCOMPASTE,sentence,English,5.332,1
P05,AUTOCOMPASTE,sentence,Latin,4.039,1
P05,AUTOCOMPASTE,paragraph,English,6.412,1
P05,AUTOCOMPASTE,paragraph,Latin,11.116,1
P05,AUTOCOMPASTE,phrase,English,11.377,1
P05,AUTOCOMPASTE,phrase,Latin,8.175,1
P05,TRADITIONAL,sentence,English,8.605,1
P05,TRADITIONAL,sentence,Latin,9.35,1
P05,TRADITIONAL,paragraph,English,4.385,1
P05,TRADITIONAL,paragraph,Latin,4.927,1
P05,TRADITIONAL,phrase,English,6.322,1
P05,TRADITIONAL,phrase,Latin,5.962,1
P05,AUTOCOMPASTE,sentence,English,4.106,1
P05,AUTOCOMPASTE,sentence,Latin,5.546,1
P05,AUTOCOMPASTE,paragraph,English,6.131,1
P05,AUTOCOMPASTE,paragraph,Latin,9.393,1
P05,AUTOCOMPASTE,phrase,English,11.354,1
P05,AUTOCOMPASTE,phrase,Latin,9.638,1
P05,TRADITIONAL,sentence,English,16.002,1
P05,TRADITIONAL,sentence,Latin,13.27,1
P05,TRADITIONAL,paragraph,English,6.38,1
P05,TRADITIONAL,paragraph,Latin,4.444,1
P05,TRADITIONAL,phrase,English,11.969,1
P05,TRADITIONAL,phrase,Latin,16.708,1
P05,AUTOCOMPASTE,sentence,English,4.79,1
P05,AUTOCOMPASTE,sentence,Latin,9.798,1
P05,AUTOCOMPASTE,paragraph,English,7.369,1
P05,AUTOCOMPASTE,paragraph,Latin,8.567,1
P05,AUTOCOMPASTE,phrase,English,9.319,1
P05,AUTOCOMPASTE,phrase,Latin,14.208,1
P05,TRADITIONAL,sentence,English,10.304,1
P05,TRADITIONAL,sentence,Latin,16.56,1
P05,TRADITIONAL,paragraph,English,5.095,1
P05,TRADITIONAL,paragraph,Latin,4.5,1
P05,TRADITIONAL,phrase,English,4.871,1
P05,TRADITIONAL,phrase,Latin,9.186,1
P06,AUTOCOMPASTE,sentence,Latin,6.447,1
P06,AUTOCOMPASTE,sentence,English,3.796,1
P06,AUTOCOMPASTE,paragraph,Latin,9.76,1
P06,AUTOCOMPASTE,paragraph,English,19.104,1
P06,AUTOCOMPASTE,phrase,Latin,17.949,1
P06,AUTOCOMPASTE,phrase,English,6.503,1
P06,TRADITIONAL,sentence,Latin,25.831,1
P06,TRADITIONAL,sentence,English,23.596,1
P06,TRADITIONAL,paragraph,Latin,25.275,1
P06,TRADITIONAL,paragraph,English,12.53,1
P06,TRADITIONAL,phrase,Latin,8.759,1
P06,TRADITIONAL,phrase,English,18.813,1
P06,AUTOCOMPASTE,sentence,Latin,7.073,1
P06,AUTOCOMPASTE,sentence,English,3.886,1
P06,AUTOCOMPASTE,paragraph,Latin,5.406,1
